Country,Code,Source,Age_groups,Sex_groups,Ymin,Ymax,Deaths
Albania,ALB,eurs,19,3,2016,2020,229410
Andorra,AND,eurs,19,3,2016,2019,2528
Armenia,ARM,eurs,19,3,2016,2020,283108
Armenia,ARM,who,18,3,2016,2020,282268
Australia,AUS,stmf,5,3,2015,2020,1696610
Australia,AUS,who,5,3,2016,2020,1367032
Austria,AUT,eurs,19,3,2016,2020,830652
Austria,AUT,stmf,19,3,2015,2020,996446
Austria,AUT,who,19,3,2016,2020,830652
Belgium,BEL,eurs,19,3,2016,2020,1129260
Belgium,BEL,stmf,19,3,2015,2020,1354078
Brazil,BRA,brazil,101,3,2015,2020,16226440
Bulgaria,BGR,eurs,19,3,2016,2020,1117876
Bulgaria,BGR,stmf,19,3,2015,2020,1342112
Bulgaria,BGR,who,19,3,2016,2020,1117430
Canada,CAN,stmf,4,3,2015,2020,3368680
Canada,CAN,who,19,3,2016,2020,2812810
Chile,CHL,stmf,20,3,2016,2020,1106694
Chile,CHL,who,19,3,2016,2020,1112958
Croatia,HRV,eurs,19,3,2016,2020,533200
Croatia,HRV,stmf,19,3,2015,2020,643480
Croatia,HRV,who,19,3,2016,2020,533034
Cyprus,CYP,eurs,19,3,2016,2020,60218
Cyprus,CYP,who,19,3,2018,2020,37288
Czechia,CZE,eurs,19,3,2016,2020,1148760
Czechia,CZE,stmf,19,3,2015,2020,1375108
Czechia,CZE,who,19,3,2016,2020,1148738
Denmark,DNK,eurs,19,3,2016,2020,540084
Denmark,DNK,stmf,21,3,2015,2020,646954
Denmark,DNK,who,19,3,2016,2020,534628
England and Wales,GBRTENW,stmf,7,3,2015,2019,5325546
England and Wales,GBRTENW,stmf,20,3,2020,2020,1228210
Estonia,EST,eurs,19,3,2016,2020,156050
Estonia,EST,stmf,19,3,2015,2020,187012
Finland,FIN,eurs,19,3,2016,2020,542878
Finland,FIN,stmf,19,3,2015,2020,650022
Finland,FIN,who,18,3,2020,2020,111326
Finland,FIN,who,19,3,2016,2019,432242
France,FRA,eurs,19,3,2016,2020,6185072
France,FRA,stmf,21,3,2015,2020,7239820
Georgia,GEO,eurs,19,3,2016,2019,381954
Georgia,GEO,who,19,3,2016,2020,484626
Germany,DEU,eurs,11,1,2016,2020,4726491
Germany,DEU,stmf,15,3,2016,2020,9452792
Germany,DEU,who,15,3,2016,2020,9451552
Greece,GRC,eurs,19,3,2016,2020,1239282
Greece,GRC,stmf,19,3,2016,2020,1239282
Guatemala,GTM,who,19,3,2019,2020,69030
Hungary,HUN,eurs,19,3,2016,2020,1321228
Hungary,HUN,stmf,19,3,2015,2020,1589166
Iceland,ISL,eurs,19,3,2016,2020,22742
Iceland,ISL,stmf,19,3,2015,2020,27188
Iraq,IRQ,who,19,3,2018,2020,781246
Ireland,IRL,who,19,3,2016,2020,295452
Israel,ISR,stmf,8,3,2015,2020,545754
Italy,ITA,eurs,19,3,2016,2020,6638030
Italy,ITA,stmf,19,3,2020,2020,1513056
Italy,ITA,stmf,22,3,2015,2019,6460946
Japan,JPN,who,21,3,2016,2020,12790040
Latvia,LVA,eurs,19,3,2016,2020,284932
Latvia,LVA,stmf,19,3,2015,2020,342876
Latvia,LVA,who,19,3,2016,2020,282546
Liechtenstein,LIE,eurs,19,3,2016,2020,2730
Lithuania,LTU,eurs,19,3,2016,2020,405614
Lithuania,LTU,stmf,19,3,2015,2020,490678
Lithuania,LTU,who,19,3,2016,2020,405300
Luxembourg,LUX,eurs,19,3,2016,2020,42894
Luxembourg,LUX,stmf,19,3,2015,2020,50990
Malta,MLT,eurs,19,3,2016,2020,36626
Mauritius,MUS,who,19,3,2016,2020,105710
Mexico,MEX,mexico,101,3,2016,2020,7779566
Moldova,MDA,who,19,3,2016,2020,379382
Montenegro,MNE,eurs,19,3,2016,2020,66690
Netherlands,NLD,eurs,19,3,2016,2020,1547666
Netherlands,NLD,stmf,19,3,2015,2020,1847372
Netherlands,NLD,who,19,3,2016,2020,1547666
New Zealand,NZL,stmf,3,3,2015,2020,394392
New Zealand,NZL,who,3,3,2016,2020,329958
Northern Ireland,GBR_NIR,stmf,19,3,2015,2019,156222
Northern Ireland,GBR_NIR,stmf,20,3,2020,2020,35552
Norway,NOR,eurs,19,3,2016,2020,406940
Norway,NOR,stmf,21,3,2015,2020,489806
Paraguay,PRY,who,19,3,2016,2020,315676
Peru,PER,peru,101,3,2017,2020,1077976
Peru,PER,who,19,3,2016,2020,1342356
Poland,POL,eurs,19,3,2016,2020,4188052
Poland,POL,stmf,19,3,2015,2020,4991756
Poland,POL,who,19,3,2016,2020,4184250
Portugal,PRT,eurs,19,3,2016,2020,1137726
Portugal,PRT,stmf,19,3,2015,2020,1359712
Romania,ROU,eurs,19,3,2016,2020,2682998
Russia,RUS,stmf,19,3,2015,2019,18085256
Scotland,GBR_SCO,stmf,20,3,2015,2019,578320
Scotland,GBR_SCO,stmf,21,3,2020,2020,129648
Serbia,SRB,eurs,19,3,2016,2020,1036448
Slovakia,SVK,eurs,19,3,2016,2020,546652
Slovakia,SVK,stmf,19,3,2015,2020,656146
Slovenia,SVN,eurs,19,3,2016,2020,210686
Slovenia,SVN,stmf,19,3,2015,2020,251054
South Korea,KOR,stmf,5,3,2015,2020,3492120
Spain,ESP,eurs,19,3,2016,2020,4333554
Spain,ESP,stmf,19,3,2015,2020,5189246
Spain,ESP,who,19,3,2018,2020,2680020
Sweden,SWE,eurs,19,3,2016,2020,924470
Sweden,SWE,stmf,19,3,2015,2020,1109550
Switzerland,CHE,eurs,19,3,2016,2020,685902
Switzerland,CHE,stmf,19,3,2015,2020,823460
Switzerland,CHE,who,19,3,2016,2020,685596
Taiwan,TWN,stmf,21,3,2015,2020,2062280
Ukraine,UKR,who,19,3,2016,2020,5886736
United Kingdom,GBR,eurs,19,3,2016,2019,4823692
United Kingdom,GBR,stmf modified,19,3,2020,2020,1393170
Uruguay,URY,who,19,3,2016,2020,337872
USA,USA,stmf,6,1,2015,2019,13933205
USA,USA,stmf,11,3,2020,2020,6874470
USA,USA,who,19,3,2016,2020,29221688
Zambia,ZMB,who,19,3,2016,2020,306426
